state,District,MPCE_URP,MPCE_MRP,state_1
23,13,802.8,781.21,MP
23,13,702.86,769.89,MP
23,13,691.5,745.11,MP
23,13,753.67,840.61,MP
23,10,2447.5,2402.77,MP
23,10,1079.33,1068.6,MP
23,10,1176.33,1007.04,MP
23,10,2497.88,1725.27,MP
23,10,1067.33,1074.64,MP
23,10,2687.25,2225.54,MP
23,10,951.67,820.0,MP
23,10,1168.0,671.2,MP
23,16,3034.0,2890.37,MP
23,16,2360.0,2702.57,MP
23,16,1119.17,768.23,MP
23,16,1030.33,1017.96,MP
23,16,1452.0,1191.59,MP
23,16,1585.5,1071.12,MP
23,16,662.25,535.5,MP
23,16,696.0,573.67,MP
23,50,2381.33,2090.15,MP
23,50,2674.5,2867.86,MP
23,50,2143.67,2087.91,MP
23,50,855.0,859.64,MP
23,50,1442.25,1547.42,MP
23,50,1109.0,1061.68,MP
23,50,485.75,501.4,MP
23,50,809.0,887.67,MP
23,8,2310.6,2308.79,MP
23,8,2599.5,2724.5,MP
23,8,1566.0,1500.18,MP
23,8,1046.67,1188.95,MP
23,8,2006.5,1825.2,MP
23,8,1656.58,1490.49,MP
23,8,864.2,879.38,MP
23,8,668.5,664.49,MP
23,4,2020.2,2625.82,MP
23,4,2989.5,4034.33,MP
23,4,1387.75,1464.26,MP
23,4,2650.33,2866.68,MP
23,4,1291.13,1231.99,MP
23,4,1676.17,1933.18,MP
23,4,1102.75,1123.33,MP
23,4,713.0,810.6,MP
23,4,4237.0,4633.37,MP
23,4,3465.5,3266.8,MP
23,4,1521.0,2524.26,MP
23,4,1485.4,1616.17,MP
23,4,1318.67,1491.01,MP
23,4,1309.67,1601.08,MP
23,4,758.0,789.64,MP
23,4,727.8,1004.79,MP
23,7,4915.5,3476.32,MP
23,7,4674.33,4176.05,MP
23,7,1282.4,1277.82,MP
23,7,1361.64,1097.29,MP
23,7,1573.0,2046.9,MP
23,7,2077.0,2337.47,MP
23,7,1142.5,1042.29,MP
23,7,1054.5,991.69,MP
23,3,2886.0,3077.58,MP
23,3,1968.5,2108.23,MP
23,3,1120.67,1137.61,MP
23,3,631.8,672.62,MP
23,3,1076.86,1116.99,MP
23,3,803.67,840.58,MP
23,3,608.86,637.35,MP
23,3,609.86,588.92,MP
23,6,3656.6,3154.38,MP
23,6,3310.67,3085.48,MP
23,6,1553.4,1558.03,MP
23,6,1216.17,1162.92,MP
23,6,1006.86,968.66,MP
23,6,1195.67,1325.69,MP
23,6,754.2,862.36,MP
23,6,644.4,826.41,MP
23,5,1940.67,2123.73,MP
23,5,1941.0,1902.83,MP
23,5,1695.8,1236.84,MP
23,5,1321.5,1027.8,MP
23,5,1573.25,1695.49,MP
23,5,1796.5,2159.21,MP
23,5,807.8,781.25,MP
23,5,805.0,954.04,MP
23,2,1928.57,1932.13,MP
23,2,1813.17,2175.4,MP
